testing_performance,testing_complexity,training_performance,training_complexity,task_id,validation,seed
0.7948717948717948,255011,0.7978128078817732,243221,168784,aggregated,10310
0.9041095890410958,100601,0.9123294008790193,91684,359958,aggregated,10202
0.8840579710144928,29666,0.8825908858166922,24502,146818,aggregated,10025
0.77,10968,0.768888888888889,10121,168757,aggregated,10132
0.75,39,0.7711111111111111,39,168757,aggregated,10143
0.8205128205128205,466552,0.797848932676519,431878,168784,aggregated,10302
0.855072463768116,63671,0.8808243727598566,59171,146818,aggregated,10029
0.8972602739726028,68111,0.9206916493176035,62198,359958,aggregated,10210
1.0,43502,1.0,38627,359960,aggregated,10273
0.8720379146919431,173392,0.8635477582846003,157278,359962,aggregated,10360
0.697986577181208,128461,0.6135282235439344,115337,2073,aggregated,10248
0.8588235294117647,1445,0.8396787423103212,1445,190146,aggregated,10120
0.7733333333333333,600,0.8038410886742756,585,359955,aggregated,10074
0.8815165876777251,83116,0.8693205235310499,74611,359962,aggregated,10341
0.8705882352941177,1446,0.8580485304169514,1446,190146,aggregated,10101
0.8972602739726028,130751,0.9199803377284294,121756,359958,aggregated,10198
0.8840579710144928,39361,0.8823860727086533,35605,146818,aggregated,10016
0.8256410256410256,415641,0.8046896551724136,375459,168784,aggregated,10323
0.8972602739726028,103192,0.9229932916955818,94932,359958,aggregated,10186
0.6711409395973155,148431,0.609050611603636,132933,2073,aggregated,10267
0.927536231884058,46256,0.8807987711213517,40039,146818,aggregated,10008
0.7866666666666666,2221,0.7978489903424055,2118,359955,aggregated,10066
0.8625592417061612,123546,0.8635449735449736,112397,359962,aggregated,10353
0.8705882352941177,1445,0.8567327409432671,1445,190146,aggregated,10113
0.8840579710144928,1926,0.8775985663082437,2545,146818,aggregated,10004
0.76,51,0.8067603160667254,51,359955,aggregated,10078
0.8767123287671232,257,0.9154233171408744,257,359958,aggregated,10194
0.8307692307692308,272702,0.8041116584564859,272620,168784,aggregated,10319
0.76,2,0.7644444444444444,2,168757,aggregated,10125
0.8153846153846154,201431,0.801264367816092,182215,168784,aggregated,10307
0.77,36,0.7744444444444444,36,168757,aggregated,10146
1.0,27572,1.0,27304,359960,aggregated,10276
0.9130434782608695,16202,0.8809011776753712,13942,146818,aggregated,10020
0.82,264521,0.7777777777777777,237880,168757,aggregated,10137
0.8205128205128205,337601,0.7989293924466339,310834,168784,aggregated,10315
0.73,598,0.7777777777777777,539,168757,aggregated,10129
0.9178082191780822,27342,0.924583622484386,24531,359958,aggregated,10207
0.8773584905660378,138,0.8946584546472565,138,359956,aggregated,10175
0.5608108108108109,1067,0.5765835042150831,958,359959,aggregated,10223
0.5135135135135135,117801,0.5735361130097972,106099,359959,aggregated,10240
0.8588235294117647,1445,0.8527511961722489,1445,190146,aggregated,10091
0.8867924528301887,56872,0.8830011198208287,51913,359956,aggregated,10167
